Page URL with Redirect Link,Initial Redirect URL,Final Destination URL,Status code,Discovered
https://azturfsuppliers.com/artificial-turf/,https://azturfsuppliers.com/spring-blend-107,https://azturfsuppliers.com/spring-blend-107/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/artificial-turf/,https://azturfsuppliers.com/mesa,https://azturfsuppliers.com/mesa/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/artificial-turf/,https://azturfsuppliers.com/spring-blend-87,https://azturfsuppliers.com/spring-blend-87/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/artificial-turf/,https://www.azturfsuppliers.com/artificial-turf/,https://azturfsuppliers.com/artificial-turf/,301,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/artificial-turf/,https://azturfsuppliers.com/phoenix,https://azturfsuppliers.com/phoenix/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/artificial-turf/,https://azturfsuppliers.com/winter-series,https://azturfsuppliers.com/winter-series/,308,25 May 2026 (00:28 UTC)
https://azturfsuppliers.com/artificial-turf/,https://azturfsuppliers.com/bermuda-blend,https://azturfsuppliers.com/bermuda-blend/,308,25 May 2026 (00:28 UTC)
https://azturfsuppliers.com/artificial-turf/,https://azturfsuppliers.com/natural-blend-75,https://azturfsuppliers.com/natural-blend-75/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/artificial-turf/,https://azturfsuppliers.com/bermuda-blend-70,https://azturfsuppliers.com/bermuda-blend-70/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/artificial-turf/,https://azturfsuppliers.com/putting-green,https://azturfsuppliers.com/putting-green/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/artificial-turf/,https://azturfsuppliers.com/san-tan-valley,https://azturfsuppliers.com/san-tan-valley/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/artificial-turf/,https://azturfsuppliers.com/reviews,https://azturfsuppliers.com/reviews/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/artificial-turf/,https://azturfsuppliers.com/chandler,https://azturfsuppliers.com/chandler/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/artificial-turf/,https://azturfsuppliers.com/apache-junction,https://azturfsuppliers.com/apache-junction/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/bermuda-blend-70/,https://azturfsuppliers.com/gilbert,https://azturfsuppliers.com/gilbert/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/bermuda-blend-70/,https://azturfsuppliers.com/phoenix,https://azturfsuppliers.com/phoenix/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/bermuda-blend-70/,https://azturfsuppliers.com/mesa,https://azturfsuppliers.com/mesa/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/bermuda-blend-70/,https://azturfsuppliers.com/about,https://azturfsuppliers.com/about/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/bermuda-blend-70/,https://azturfsuppliers.com/spring-blend,https://azturfsuppliers.com/spring-blend/,308,25 May 2026 (00:28 UTC)
https://azturfsuppliers.com/bermuda-blend-70/,https://azturfsuppliers.com/natural-series,https://azturfsuppliers.com/natural-series/,308,25 May 2026 (00:28 UTC)
https://azturfsuppliers.com/bermuda-blend-70/,https://azturfsuppliers.com/warranty,https://azturfsuppliers.com/warranty/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/bermuda-blend-70/,https://azturfsuppliers.com/blog,https://azturfsuppliers.com/blog/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/bermuda-blend-70/,https://azturfsuppliers.com/gallery,https://azturfsuppliers.com/gallery/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/bermuda-blend-70/,https://azturfsuppliers.com/tempe,https://azturfsuppliers.com/tempe/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/bermuda-blend-70/,https://azturfsuppliers.com/scottsdale,https://azturfsuppliers.com/scottsdale/,308,18 May 2026 (00:27 UTC)
https://azturfsuppliers.com/bermuda-blend-70/,https://azturfsuppliers.com/accessories,https://azturfsuppliers.com/accessories/,308,18 May 2026 (00:27 UTC)
